manufacturer,model,type,energy_class,power,temperature,area,functions,warranty,current,previous
VIVAX,ACP-12CH35AEFIs R32,ИНВЕРТЕР СПЛИТ СИСТЕМ,A++,3517/3810 W,ОД -10℃ ДО 50℃,ДО 30 м2,Внесете свежина во вашите домашни и деловни простории и во најтешките летни денови!,5 ГОДИНИ,17.990,20.990
TESLA,CLASSIC TA36FFLL-1232IA,ИНВЕРТЕР СПЛИТ СИСТЕМ,A++,3400/3500 W,ОД -15℃ ДО 49℃,ДО 35 м2,/,3 ГОДИНИ,18.990,
VIVAX,ACP-12CH35AEXIs R32,ИНВЕРТЕР СПЛИТ СИСТЕМ,A++,3520/3810 W,ОД -15℃ ДО 50℃,ДО 30 м2,/,5 ГОДИНИ,19.990,24.990
VIVAX,ACP-09CH25AEQIS R32,ИНВЕРТЕР СПЛИТ СИСТЕМ,A++,2638/2930 W,ОД -15℃ ДО 50℃,ДО 25 м2,"Висока ефикасност, прикажување на самодијагноза, индикатор за истекување на гасот за разладување, 1W standby, турбо, заштита на вентил на надворешна единица, интелегентно отопување, 12 Fan Speed, безшумна опција, двосмерен одвод на кондензат, дигитален екран.",5 ГОДИНИ,19.990,22.990
VIVAX,ACP-09PT25AEG,МОБИЛНИ КЛИМА УРЕДИ,A,2640 W,ОД 17℃ ДО 35℃,ДО 25 м2,"Тајмер, 3 стапки на проток на воздух, Рачно ракување, Повеќенасочни тркала.",3 ГОДИНИ,19.990,
TOSOT,MUSE PREMIUM TWH12AFBXB-K6DNA5A,ИНВЕРТЕР СПЛИТ СИСТЕМ,A++,3200/3400 W,ОД -15℃ ДО 43℃,ДО 30 м2,"Произведено од GREE. Самодијагноза, интелегентно отопување, аuto restart, нормален sleep mode,тајмер, turbo",3 ГОДИНИ,19.990,31.990
VIVAX,ACP-09CH25AEMIS R32,ИНВЕРТЕР СПЛИТ СИСТЕМ,A++,2638/2930 W,ОД -15℃ ДО 50℃,ДО 25 м2,"Висока ефикасност, самодијагноза, 1W standby, заштита на вентил надворешна единица, 12 Fan Speed, self cleaning, индикатор за истекување на гасот за разладување, безшумна операција, двосмерен одвод на кондензат, дигитален екран, sleep mode, тајмер, интелегентно отопување, memory функција, турбо, припрема за Wi-Fi  ( WiFi ready )",5 ГОДИНИ,19.990,24.990
VIVAX,ACP-12CH35AEQIS R32,ИНВЕРТЕР СПЛИТ СИСТЕМ,A++,3517/3810 W,ОД -15℃ ДО 50℃,ДО 35 м2,"Висока ефикасност, прикажување на самодијагноза, индикатор за истекување на гасот за разладување, 1W standby, турбо, заштита на вентил на надворешна единица, интелегентно отопување, 12 Fan Speed, безшумна опција, двосмерен одвод на кондензат, дигитален екран.",5 ГОДИНИ,20.990,25.990
TESLA,CLASSIC TT34EX21-1232IA,ИНВЕРТЕР СПЛИТ СИСТЕМ,A++,3400/3420 W,ОД -20℃ ДО 53℃,ДО 35 м2,/,3 ГОДИНИ,20.990,25.990
